dataset,model,rmse,rank
elevators,CrossFitHingeRidgeV1,0.429569,20
elevators,DualKnotSparseAdditiveRidgeV1,0.429920,25
elevators,ValGatedResidualSymbolicRidgeV1,0.378638,3
elevators,AdaptiveHuberRidgeMapV1,0.444841,32
elevators,SparsePCADenoisedRidgeMapV1,0.727564,48
elevators,CrossValidatedRidgeEquationV1,0.429810,22
elevators,SplitSparseLinearSimulatorV1,0.785823,53
elevators,CalibratedSparseSingleIndexV1,0.785054,52
elevators,SparseSplineBackboneV1,0.430943,28
elevators,StabilityCalibratedLinearMapV1,0.444974,33
elevators,SparseLatentSplineRidgeV1,0.409831,9
elevators,StabilityMassRidgeEquationV2,0.430021,26
pol,PyGAM,0.549154,14
pol,DT_mini,0.362666,11
pol,DT_large,0.338574,7
pol,OLS,0.709816,53
pol,LassoCV,0.710064,54
pol,RidgeCV,0.709213,50
pol,RF,0.274415,2
pol,GBM,0.299494,3
pol,MLP,0.724552,59
pol,FIGS_mini,0.356437,10
pol,FIGS_large,0.323908,5
pol,RuleFit,0.312670,4
pol,HSTree_mini,0.349503,8
pol,HSTree_large,0.325280,6
pol,EBM,0.350952,9
pol,TabPFN,0.141046,1
pol,DecisionTreeSimple,0.395853,12
pol,SparseBasisPursuitV1,0.814107,62
pol,GreedyKnotAdditiveV1,0.654587,33
pol,SparseSymbolicAdditiveV2,0.597044,20
pol,ResidualRuleLinearV1,0.628559,26
pol,SparseHingeInteractionV1,0.693024,39
pol,RawSymbolicFSV1,0.782077,61
pol,OrthoSymbolicV1,0.868213,65
pol,OrthoSymbolicV2,0.868213,66
pol,KnotSparseAdditiveV1,0.660763,36
pol,SparseLinearRuleGateV1,0.608298,23
pol,GlobalRidgeOneHingeV1,45.467897,71
pol,StabilitySparseHingeV1,0.654452,32
pol,SparseAdditiveInteractionV1,0.657988,35
pol,StabilityPiecewiseSparseV1,0.640659,30
pol,GCVSparseHingeRidgeV1,0.656726,34
pol,BiRegionSparseLinearV1,0.564020,15
pol,QuantizedSparseRidgeV1,0.713198,57
pol,AdaptiveRidgeOneHingeV1,0.632219,27
pol,RobustSparseRidgeIRLSV1,2.440952,70
pol,DenseRidgeResidualBasisV1,0.633371,28
pol,GreedyAdditiveSplineV1,0.582740,18
pol,CalibratedSparseRidgeMapV1,0.672313,37
pol,AdaptiveElasticHingeMapV1,0.674043,38
pol,SparseSingleIndexSplineV1,0.511622,13
pol,SplitCalibratedSparseLinearV1,0.697591,40
pol,AdaptiveWeightedRidgeSparseV1,0.715519,58
pol,SparseSymbolicAtlasV1,0.568655,16
pol,ResidualizedHingeRidgeV2,0.586934,19
pol,StagewiseSymbolicV1,0.618557,24
pol,ResidualTreeSparseLinearV1,0.568940,17
pol,RiskCalibratedSparseRidgeV1,0.709810,52
pol,SVDGCVRidgeMapV1,0.708464,44
pol,RobustAdaptiveLinearMapV1,0.709509,51
pol,SparseAdditiveBasisPursuitV1,0.636075,29
pol,RidgeOneHingeResidualV1,0.708887,49
pol,StabilityRuleListRidgeV1,0.597965,21
pol,InteractionAugmentedRidgeV1,0.706081,41
pol,MassConservingGCVRidgeV1,0.708464,45
pol,SparseQuantileAdditiveV1,0.842226,64
pol,CalibratedDominantHingeRidgeV1,0.708594,48
pol,ValGatedSparseHingeRidgeV1,0.711848,56
pol,SymbolicResidualRidgeV1,0.711759,55
pol,CrossFitHingeRidgeV1,0.708561,47
pol,DualKnotSparseAdditiveRidgeV1,0.643978,31
pol,ValGatedResidualSymbolicRidgeV1,0.624521,25
pol,AdaptiveHuberRidgeMapV1,1.136992,69
pol,SparsePCADenoisedRidgeMapV1,0.735719,60
