dataset,model,rmse,rank
pmlb/1096_FacultySalaries,RF,0.486246,24
pmlb/1096_FacultySalaries,RidgeCV,0.381891,6
pmlb/1096_FacultySalaries,RuleFit,0.510835,30
pmlb/1096_FacultySalaries,SklearnGAM_hybrid,0.418994,17
pmlb/1096_FacultySalaries,SklearnStumpGAM_v1,0.503932,28
pmlb/1096_FacultySalaries,SmartAddGAM_r90,0.502695,25
pmlb/1096_FacultySalaries,SmartAdditive_v1,0.502695,26
pmlb/1096_FacultySalaries,SmartAdditive_v2,0.681505,40
pmlb/1096_FacultySalaries,SmartAdditive_v5,0.681505,39
pmlb/1096_FacultySalaries,SmoothGAM_40s,0.408981,12
pmlb/1096_FacultySalaries,SmoothGAM_50s,0.408981,13
pmlb/1096_FacultySalaries,SmoothGAM_ES,0.377461,5
pmlb/1096_FacultySalaries,SmoothGAM_RF,0.408981,7
pmlb/1096_FacultySalaries,SmoothGAM_RF100,0.408981,9
pmlb/1096_FacultySalaries,SmoothGAM_RF_sqrt,0.408981,10
pmlb/1096_FacultySalaries,SmoothGAM_hybrid,0.377461,3
pmlb/1096_FacultySalaries,SmoothGAM_noES,0.408981,8
pmlb/1096_FacultySalaries,SmoothGAM_r70hyb,0.408981,14
pmlb/1096_FacultySalaries,SmoothGAM_tinyGBM,0.408981,11
pmlb/1096_FacultySalaries,SmoothGAM_v1,0.377461,4
pmlb/1096_FacultySalaries,TabPFN,0.275576,1
pmlb/1191_BNG_pbc,DT_large,0.930181,39
pmlb/1191_BNG_pbc,DT_mini,0.929181,38
pmlb/1191_BNG_pbc,DistilledGAM_v1,0.861321,22
pmlb/1191_BNG_pbc,EBM,0.849706,2
pmlb/1191_BNG_pbc,FIGS_large,0.942724,40
pmlb/1191_BNG_pbc,FIGS_mini,0.918014,35
pmlb/1191_BNG_pbc,FullPWC_LinDisp,0.854162,11
pmlb/1191_BNG_pbc,GBM,0.860402,21
pmlb/1191_BNG_pbc,HSTree_large,0.901627,34
pmlb/1191_BNG_pbc,HSTree_mini,0.921734,36
pmlb/1191_BNG_pbc,HingeEBM_5bag,0.852339,5
pmlb/1191_BNG_pbc,HingeEBM_LinDisp,0.854690,12
pmlb/1191_BNG_pbc,HingeEBM_big,0.851059,4
pmlb/1191_BNG_pbc,HingeEBM_smart,0.854690,13
pmlb/1191_BNG_pbc,HingeEBM_v1,0.858269,19
pmlb/1191_BNG_pbc,HingeGBM_v1,0.855094,15
pmlb/1191_BNG_pbc,LassoCV,0.924760,37
pmlb/1191_BNG_pbc,MLP,2.834234,41
pmlb/1191_BNG_pbc,OLS,0.870524,25
pmlb/1191_BNG_pbc,PyGAM,0.862047,23
pmlb/1191_BNG_pbc,RF,0.869216,24
pmlb/1191_BNG_pbc,RidgeCV,0.871396,26
pmlb/1191_BNG_pbc,RuleFit,0.871873,27
pmlb/1191_BNG_pbc,SklearnGAM_hybrid,0.885435,31
pmlb/1191_BNG_pbc,SklearnStumpGAM_v1,0.854162,9
pmlb/1191_BNG_pbc,SmartAddGAM_r90,0.853989,8
pmlb/1191_BNG_pbc,SmartAdditive_v1,0.854162,10
pmlb/1191_BNG_pbc,SmartAdditive_v2,0.856079,18
pmlb/1191_BNG_pbc,SmartAdditive_v5,0.856079,17
pmlb/1191_BNG_pbc,SmoothGAM_40s,0.855654,16
pmlb/1191_BNG_pbc,SmoothGAM_50s,0.854934,14
pmlb/1191_BNG_pbc,SmoothGAM_ES,0.882425,30
pmlb/1191_BNG_pbc,SmoothGAM_RF,0.853246,7
pmlb/1191_BNG_pbc,SmoothGAM_RF100,0.852450,6
pmlb/1191_BNG_pbc,SmoothGAM_RF_sqrt,0.850043,3
pmlb/1191_BNG_pbc,SmoothGAM_hybrid,0.882339,28
pmlb/1191_BNG_pbc,SmoothGAM_noES,0.885435,32
pmlb/1191_BNG_pbc,SmoothGAM_r70hyb,0.885435,33
pmlb/1191_BNG_pbc,SmoothGAM_tinyGBM,0.858338,20
pmlb/1191_BNG_pbc,SmoothGAM_v1,0.882425,29
pmlb/1191_BNG_pbc,TabPFN,0.833502,1
pmlb/1193_BNG_lowbwt,DT_large,0.687092,40
pmlb/1193_BNG_lowbwt,DT_mini,0.670626,30
pmlb/1193_BNG_lowbwt,DistilledGAM_v1,0.668912,26
pmlb/1193_BNG_lowbwt,EBM,0.656352,2
pmlb/1193_BNG_lowbwt,FIGS_large,0.698200,41
pmlb/1193_BNG_lowbwt,FIGS_mini,0.665872,19
pmlb/1193_BNG_lowbwt,FullPWC_LinDisp,0.664983,16
pmlb/1193_BNG_lowbwt,GBM,0.665525,18
