dataset,model,rmse,rank
cpu_act,RegimeMixtureTeacherAuditAtlas_v1,0.156944,3
cpu_act,DisagreementRoutedSimplexAtlas_v2,0.160498,9
cpu_act,GeoUncertaintyRegimeAtlas_v1,0.161079,12
house_16H,PyGAM,0.901921,38
house_16H,DT_mini,1.042565,53
house_16H,DT_large,1.003924,50
house_16H,OLS,1.044770,55
house_16H,LassoCV,1.042664,54
house_16H,RidgeCV,0.937416,45
house_16H,RF,0.829627,21
house_16H,GBM,0.840001,25
house_16H,MLP,1.519955,57
house_16H,FIGS_mini,1.034705,52
house_16H,FIGS_large,1.031391,51
house_16H,RuleFit,0.861472,29
house_16H,HSTree_mini,0.916714,41
house_16H,HSTree_large,0.887148,32
house_16H,EBM,0.761079,12
house_16H,TabPFN,0.728232,1
house_16H,DecisionTreeSimple,0.987097,49
house_16H,SparseHingeOMP_q2575_v1,0.826288,19
house_16H,LinResStumpOMP_v1,0.909055,40
house_16H,SparseKnotAbsInt_v1,0.842994,26
house_16H,SparseLinHingeRefine_v1,0.901627,37
house_16H,RuleGateSparseLin_v1,0.937367,44
house_16H,SparseRidgeHingeGCV_v1,0.982723,48
house_16H,RidgeResidualSymbolic_v1,1.431244,56
house_16H,DenseSplineResidual_v1,0.917084,42
house_16H,SparseModelTree_v1,0.879492,31
house_16H,QuantizedSparseBasis_v1,0.829426,20
house_16H,StagewiseHingeAdditive_v1,0.821101,18
house_16H,SparseTriBinAdditive_v1,0.908801,39
house_16H,ValidatedSparseSpline_v1,0.895864,35
house_16H,SnapRidgeOneKnot_v1,0.918246,43
house_16H,DenseRidgeAdaptiveSpline_v1,0.858360,28
house_16H,ComplexityRoundedRidge_v1,0.939335,46
house_16H,SparseSignedBasisPursuit_v1,0.862736,30
house_16H,CompactSplineRidge_v1,0.945356,47
house_16H,OrthSparseAdditive_v1,0.847965,27
house_16H,CognitiveRidgeOneHinge_v1,0.893564,33
house_16H,AnchorSplineRidge_v1,0.894707,34
house_16H,MDLHybridSymbolic_v1,0.898595,36
house_16H,DualPathBoostedSymbolic_v1,0.779794,15
house_16H,DistilledSparsePiecewise_v1,0.831522,22
house_16H,TeacherStudentRuleSpline_v1,0.800487,16
house_16H,TeacherStudentSpectralRuleSpline_v1,0.837991,24
house_16H,TeacherStudentCompactDistill_v1,0.804981,17
house_16H,CalibratedSparseHingeStudent_v1,0.753715,7
house_16H,SparseGateDistilledBoost_v1,0.766883,13
house_16H,TransparentDistilledForestBoost_v1,0.749455,5
house_16H,DualPathSparseSymbolic_v1,,
house_16H,DualPathSparseSymbolic_v2,0.756889,10
house_16H,HGBLinearAuditAtlas_v1,0.754775,8
house_16H,CalibratedBoostAuditAtlas_v1,0.833255,23
house_16H,ValGatedTeacherAuditAtlas_v1,0.745442,4
house_16H,AdaptiveStackedTeacherAuditAtlas_v1,0.756040,9
house_16H,TabPFNResidualAuditAtlas_v1,0.757483,11
house_16H,CalibratedTabPFNForestAtlas_v1,0.752299,6
house_16H,RegimeMixtureTeacherAuditAtlas_v1,0.738023,2
house_16H,DisagreementRoutedSimplexAtlas_v2,0.770652,14
house_16H,GeoUncertaintyRegimeAtlas_v1,0.738105,3
elevators,PyGAM,0.375632,2
elevators,DT_mini,0.743616,44
elevators,DT_large,0.704357,41
elevators,OLS,0.903981,52
elevators,LassoCV,0.904215,53
elevators,RidgeCV,0.876481,50
elevators,RF,0.623118,38
elevators,GBM,0.522039,24
elevators,MLP,0.983679,54
elevators,FIGS_mini,0.748350,45
elevators,FIGS_large,0.676476,39
elevators,RuleFit,0.679608,40
elevators,HSTree_mini,0.751891,46
elevators,HSTree_large,0.723031,42
elevators,EBM,0.397748,5
elevators,TabPFN,0.292012,1
elevators,DecisionTreeSimple,0.726676,43
elevators,SparseHingeOMP_q2575_v1,0.412861,7
elevators,LinResStumpOMP_v1,0.481721,16
elevators,SparseKnotAbsInt_v1,0.467949,14
elevators,SparseLinHingeRefine_v1,0.443896,13
elevators,RuleGateSparseLin_v1,0.518239,23
elevators,SparseRidgeHingeGCV_v1,0.901229,51
elevators,RidgeResidualSymbolic_v1,1.056146,55
elevators,DenseSplineResidual_v1,0.535917,30
elevators,SparseModelTree_v1,0.786959,47
elevators,QuantizedSparseBasis_v1,0.845419,48
elevators,StagewiseHingeAdditive_v1,0.870865,49
elevators,SparseTriBinAdditive_v1,0.441701,12
elevators,ValidatedSparseSpline_v1,0.421054,8
elevators,SnapRidgeOneKnot_v1,0.429327,10
elevators,DenseRidgeAdaptiveSpline_v1,3.848060,57
elevators,ComplexityRoundedRidge_v1,1.091514,56
elevators,SparseSignedBasisPursuit_v1,0.478352,15
elevators,CompactSplineRidge_v1,0.424482,9
elevators,OrthSparseAdditive_v1,0.389801,3
elevators,CognitiveRidgeOneHinge_v1,0.399014,6
elevators,AnchorSplineRidge_v1,0.396721,4
elevators,MDLHybridSymbolic_v1,0.429422,11
elevators,DualPathBoostedSymbolic_v1,0.569845,36
elevators,DistilledSparsePiecewise_v1,0.522415,25
elevators,TeacherStudentRuleSpline_v1,0.536951,31
elevators,TeacherStudentSpectralRuleSpline_v1,0.529596,29
elevators,TeacherStudentCompactDistill_v1,0.548000,33
elevators,CalibratedSparseHingeStudent_v1,0.496323,18
