dataset,model,rmse,rank
pmlb/1203_BNG_pwLinear,EBM,0.658559,4
pmlb/1203_BNG_pwLinear,TabPFN,0.641716,1
pmlb/1203_BNG_pwLinear,HingeEBM_7bag,0.657427,3
pmlb/1595_poker,PyGAM,1.030247,14
pmlb/1595_poker,DT_mini,1.025251,12
pmlb/1595_poker,DT_large,1.087182,17
pmlb/1595_poker,OLS,1.017360,11
pmlb/1595_poker,LassoCV,1.011398,9
pmlb/1595_poker,RidgeCV,1.017291,10
pmlb/1595_poker,RF,0.991750,3
pmlb/1595_poker,GBM,0.984360,1
pmlb/1595_poker,MLP,1.004007,7
pmlb/1595_poker,FIGS_mini,1.060705,15
pmlb/1595_poker,FIGS_large,1.074669,16
pmlb/1595_poker,RuleFit,1.002669,5
pmlb/1595_poker,HSTree_mini,1.005095,8
pmlb/1595_poker,HSTree_large,1.004003,6
pmlb/1595_poker,EBM,0.991878,4
pmlb/1595_poker,TabPFN,1.028985,13
pmlb/1595_poker,HingeEBM_7bag,0.990465,2
pmlb/192_vineyard,PyGAM,0.421638,2
pmlb/192_vineyard,DT_mini,0.685621,12
pmlb/192_vineyard,DT_large,0.844272,16
pmlb/192_vineyard,OLS,0.508868,5
pmlb/192_vineyard,LassoCV,0.545154,9
pmlb/192_vineyard,RidgeCV,0.522288,7
pmlb/192_vineyard,RF,0.619561,10
pmlb/192_vineyard,GBM,0.768261,15
pmlb/192_vineyard,MLP,0.520361,6
pmlb/192_vineyard,FIGS_mini,0.684918,11
pmlb/192_vineyard,FIGS_large,0.877789,17
pmlb/192_vineyard,RuleFit,0.531009,8
pmlb/192_vineyard,HSTree_mini,0.700389,13
pmlb/192_vineyard,HSTree_large,0.715377,14
pmlb/192_vineyard,EBM,0.507385,4
pmlb/192_vineyard,TabPFN,0.389260,1
pmlb/192_vineyard,HingeEBM_7bag,0.492109,3
pmlb/197_cpu_act,PyGAM,0.173718,5
pmlb/197_cpu_act,DT_mini,0.253144,12
pmlb/197_cpu_act,DT_large,0.226447,9
pmlb/197_cpu_act,OLS,0.565065,15
pmlb/197_cpu_act,LassoCV,0.742457,16
pmlb/197_cpu_act,RidgeCV,0.559656,14
pmlb/197_cpu_act,RF,0.199308,6
pmlb/197_cpu_act,GBM,0.158850,3
pmlb/197_cpu_act,MLP,912.810974,17
pmlb/197_cpu_act,FIGS_mini,0.239842,10
pmlb/197_cpu_act,FIGS_large,0.199590,7
pmlb/197_cpu_act,RuleFit,0.318561,13
pmlb/197_cpu_act,HSTree_mini,0.253052,11
pmlb/197_cpu_act,HSTree_large,0.224038,8
pmlb/197_cpu_act,EBM,0.167552,4
pmlb/197_cpu_act,TabPFN,0.138888,1
pmlb/197_cpu_act,HingeEBM_7bag,0.152507,2
pmlb/201_pol,PyGAM,0.549154,13
pmlb/201_pol,DT_mini,0.362666,10
pmlb/201_pol,DT_large,0.335931,6
pmlb/201_pol,OLS,0.709816,16
pmlb/201_pol,LassoCV,0.710064,17
pmlb/201_pol,RidgeCV,0.709214,15
pmlb/201_pol,RF,0.274815,2
pmlb/201_pol,GBM,0.298954,3
pmlb/201_pol,MLP,0.576993,14
pmlb/201_pol,FIGS_mini,0.356437,8
pmlb/201_pol,FIGS_large,0.338477,7
pmlb/201_pol,RuleFit,0.309226,4
pmlb/201_pol,HSTree_mini,0.362635,9
pmlb/201_pol,HSTree_large,0.324726,5
pmlb/201_pol,EBM,0.367724,11
pmlb/201_pol,TabPFN,0.141046,1
pmlb/201_pol,HingeEBM_7bag,0.368623,12
pmlb/210_cloud,PyGAM,0.274209,2
pmlb/210_cloud,DT_mini,0.574256,16
pmlb/210_cloud,DT_large,0.604440,17
pmlb/210_cloud,OLS,0.302598,7
pmlb/210_cloud,LassoCV,0.297391,6
pmlb/210_cloud,RidgeCV,0.302643,8
pmlb/210_cloud,RF,0.393746,9
pmlb/210_cloud,GBM,0.447321,11
pmlb/210_cloud,MLP,0.292690,5
pmlb/210_cloud,FIGS_mini,0.536609,14
pmlb/210_cloud,FIGS_large,0.498255,12
pmlb/210_cloud,RuleFit,0.447312,10
pmlb/210_cloud,HSTree_mini,0.524478,13
pmlb/210_cloud,HSTree_large,0.548092,15
pmlb/210_cloud,EBM,0.278423,4
pmlb/210_cloud,TabPFN,0.273992,1
pmlb/210_cloud,HingeEBM_7bag,0.278318,3
pmlb/215_2dplanes,PyGAM,0.540914,17
