dataset,model,rmse,rank
house_16H,SparseRidgeOneHinge_v1,0.928115,35
house_16H,DenseBackboneHingePair_v1,0.902081,29
house_16H,ScreenedAdaptiveBasis_v1,0.810427,3
house_16H,SparseQuantizedKnot_v1,0.909104,32
house_16H,SymbolicResidualHybridDense_v1,0.952655,48
house_16H,BackfitHingeGAM_v1,1.185788,59
house_16H,ProjectedSplineResidual_v1,0.929586,36
house_16H,SparseSignedHingeDict_v1,0.866801,12
house_16H,SparsePairwiseSpline_v1,0.891981,21
house_16H,QuantizedAdaptiveRidge_v1,0.949705,46
house_16H,QuantizedAdaptiveRidge_v2,0.949705,47
house_16H,DenseRidgeOneKnot_v1,,
house_16H,DenseRidgeOneKnot_v2,0.907503,30
house_16H,LinearStepRule_v1,0.887334,20
house_16H,TwinHingeAdditiveRidge_v1,0.939635,42
house_16H,AdditiveStepRidge_v1,0.878258,14
house_16H,ScoreSplineLinear_v1,0.933535,37
house_16H,AdaptiveStepLinear_v1,0.933535,38
house_16H,DebiasedSparseLinear_v1,0.946832,44
house_16H,SpectralRidgeCV_v1,0.942134,43
house_16H,ResidualStumpRidge_v1,0.908008,31
house_16H,SingleIndexSpline_v1,0.901951,27
house_16H,SingleIndexSpline_v2,0.901951,28
house_16H,GreedyMedianHinge_v1,0.895248,24
house_16H,RobustAdaptiveLinear_v1,0.948072,45
house_16H,SparseAdditiveHingeRidge_v1,0.960803,51
house_16H,LinearBoostedRules_v1,0.893431,23
house_16H,SparseMeanHingeAdditive_v1,0.916171,33
house_16H,SplitLinearModelTree_v1,0.954886,49
house_16H,OrthogonalRidgeEquation_v1,0.933535,39
house_16H,SparseAdaptiveSplineRidge_v1,0.814978,5
house_16H,SparseLinearRuleBoost_v1,0.883866,17
elevators,PyGAM,0.375632,2
elevators,DT_mini,0.743616,34
elevators,DT_large,0.704357,29
elevators,OLS,0.903981,53
elevators,LassoCV,0.904215,54
elevators,RidgeCV,0.876481,50
elevators,RF,0.623118,23
elevators,GBM,0.522039,22
elevators,MLP,0.983679,56
elevators,FIGS_mini,0.748350,36
elevators,FIGS_large,0.676476,25
elevators,RuleFit,0.679608,26
elevators,HSTree_mini,0.751891,37
elevators,HSTree_large,0.723031,30
elevators,EBM,0.397748,6
elevators,TabPFN,0.292012,1
elevators,DecisionTreeSimple,0.726676,31
elevators,SparseHingeAdd_v1,0.731218,32
elevators,SparseSymbolicGreedy_v1,0.891182,52
elevators,AnchorSplineOMP_v1,0.822096,49
elevators,ResidualKnotRidge_v1,0.412461,8
elevators,SplitSparseLinear_v1,0.761881,40
elevators,SparseKnotLinear_v2,0.767421,43
elevators,CompactResidualSpline_v1,0.767988,44
elevators,SparseAdditiveKnot_v1,0.737649,33
elevators,CompactRuleLinear_v1,0.760714,39
elevators,ResidualBasisRidge_v1,0.428999,16
elevators,SparseResidualHybrid_v1,0.388737,4
elevators,ValidatedSymbolicResidual_v1,0.384364,3
elevators,SparseRidgeOneHinge_v1,0.770519,46
elevators,DenseBackboneHingePair_v1,0.389963,5
elevators,ScreenedAdaptiveBasis_v1,0.680845,27
elevators,SparseQuantizedKnot_v1,0.770454,45
elevators,SymbolicResidualHybridDense_v1,0.888919,51
elevators,BackfitHingeGAM_v1,1.743596,58
elevators,ProjectedSplineResidual_v1,0.929665,55
elevators,SparseSignedHingeDict_v1,0.752282,38
elevators,SparsePairwiseSpline_v1,0.763664,41
