dataset,model,rmse,rank
elevators,DecisionTreeSimple,0.726676,46
elevators,SparseAddHinge_v1,0.903150,62
elevators,ResidualRuleLin_v1,0.465034,25
elevators,SparseSymAdd_v2,0.746250,49
elevators,StagewisePiece_v1,0.738033,47
elevators,SparseRootLin_v1,0.676115,35
elevators,SparseTailHinge_v1,,
elevators,SparseTailHinge_v2,0.688452,41
elevators,MonoBinAdd_v1,0.784793,58
elevators,OrthoPieceAdd_v1,0.684489,39
elevators,SparseHierInter_v1,0.683397,38
elevators,SparseOrthoPoly_v1,0.774328,56
elevators,GateLinTree_v1,0.906611,65
elevators,AdaptiveCalSparse_v1,0.526939,29
elevators,ResQuantRule_v1,0.847718,60
elevators,SparseCalHinge_v1,0.527497,30
elevators,QuantSparseSymbolic_v1,0.436665,22
elevators,SparseBackfitBins_v1,0.758242,52
elevators,HingeSplineRule_v1,0.962806,66
elevators,SparseResidInter_v1,0.776657,57
elevators,SparsePwAnchor_v1,0.772852,55
elevators,SparseGateResid_v1,0.492537,26
elevators,FeatMapInter_v1,0.507191,27
elevators,DistillSparseRidge_v1,0.452541,23
elevators,PrunedSymRidge_v1,0.685501,40
elevators,GreedyHingeEq_v1,0.761032,53
elevators,SparseBinShape_v1,0.696127,42
elevators,HybridRidgeHinge_v1,0.430445,20
elevators,StableSparseLOORidge_v1,0.429969,17
elevators,SpectralPruneRidge_v1,0.430131,18
elevators,DualMapStabilityRidge_v1,0.533064,31
elevators,SparseMedianHinge_v1,0.703716,43
elevators,ResidualSnapSpline_v1,0.536467,32
elevators,BaggedMedianStableRidge_v1,0.430193,19
elevators,StabWeightRidge_v1,0.429386,13
elevators,RidgeGarroteStable_v1,0.429399,14
elevators,AdaptiveSplineRidge_v1,0.551032,33
elevators,SparseQuantileGAM_v1,0.401431,9
elevators,ResidualRuleRidgeHybrid_v1,0.417838,11
elevators,SparseSmoothBackfit_v1,0.802492,59
elevators,BasisSwitchRidge_v1,0.372030,2
elevators,HuberRidgeIRLS_v1,0.415102,10
elevators,ResidualTanhRidge_v1,0.418588,12
elevators,SparseResidualQuadRidge_v1,0.376054,4
elevators,ComplexityDistilledRidge_v1,0.429508,16
elevators,SparseTailSplineRidge_v1,0.389706,5
elevators,AdaptiveWeightedGCVRidge_v1,0.429492,15
elevators,CompactResidualHingeAdd_v1,0.397364,7
elevators,TriRegionGateSparse_v1,0.453303,24
elevators,SignalWeightedTrimmedRidge_v1,0.431864,21
elevators,SparseKnotAdditive_v1,0.392034,6
elevators,BoostedBinPair_v1,,
elevators,BoostedBinPair_v2,0.766049,54
pol,PyGAM,0.549154,17
pol,DT_mini,0.362666,11
pol,DT_large,0.338574,7
pol,OLS,0.709816,48
pol,LassoCV,0.710064,49
pol,RidgeCV,0.709213,46
pol,RF,0.274415,2
pol,GBM,0.299494,3
pol,MLP,0.724552,54
pol,FIGS_mini,0.356437,10
pol,FIGS_large,0.323908,5
pol,RuleFit,0.312670,4
pol,HSTree_mini,0.349503,8
pol,HSTree_large,0.325280,6
pol,EBM,0.350952,9
pol,TabPFN,0.141046,1
pol,DecisionTreeSimple,0.395853,12
pol,SparseAddHinge_v1,0.608133,25
pol,ResidualRuleLin_v1,0.579792,19
pol,SparseSymAdd_v2,0.832160,66
pol,StagewisePiece_v1,0.631102,30
pol,SparseRootLin_v1,0.632070,31
pol,SparseTailHinge_v1,,
pol,SparseTailHinge_v2,0.758321,57
pol,MonoBinAdd_v1,0.641901,32
pol,OrthoPieceAdd_v1,0.548163,16
pol,SparseHierInter_v1,0.694519,39
pol,SparseOrthoPoly_v1,0.680576,37
pol,GateLinTree_v1,0.602844,22
pol,AdaptiveCalSparse_v1,0.829827,65
pol,ResQuantRule_v1,0.738520,56
pol,SparseCalHinge_v1,0.684322,38
pol,QuantSparseSymbolic_v1,0.828180,64
pol,SparseBackfitBins_v1,0.590587,21
pol,HingeSplineRule_v1,0.992073,67
pol,SparseResidInter_v1,0.777033,60
pol,SparsePwAnchor_v1,0.764484,58
pol,SparseGateResid_v1,0.653260,34
pol,FeatMapInter_v1,0.724331,53
pol,DistillSparseRidge_v1,0.816801,62
pol,PrunedSymRidge_v1,0.764793,59
pol,GreedyHingeEq_v1,0.797135,61
pol,SparseBinShape_v1,0.718036,52
pol,HybridRidgeHinge_v1,0.616822,27
pol,StableSparseLOORidge_v1,0.711505,51
pol,SpectralPruneRidge_v1,0.732183,55
pol,DualMapStabilityRidge_v1,0.660781,35
pol,SparseMedianHinge_v1,0.630723,29
pol,ResidualSnapSpline_v1,0.570796,18
pol,BaggedMedianStableRidge_v1,0.710115,50
pol,StabWeightRidge_v1,0.708952,45
